triggered_at,run_type,triggered_by,questions_dispatched,forecasts_completed,forecasts_failed,finished_at,purpose,evidence_caveat
2026-07-29 17:55:46.661313+00:00,manual,cli,,1,0,2026-07-29 17:55:48.154783+00:00,,
2026-07-29 17:55:24.783165+00:00,manual,cli,,0,0,2026-07-29 17:55:26.021004+00:00,,
2026-07-29 17:55:02.746914+00:00,manual,cli,,1,0,2026-07-29 17:55:04.120095+00:00,,
2026-07-29 17:54:41.129188+00:00,manual,cli,,0,0,2026-07-29 17:54:42.341121+00:00,,
2026-07-29 17:54:19.012460+00:00,manual,cli,,1,0,2026-07-29 17:54:20.548732+00:00,,
2026-07-29 17:53:55.176309+00:00,manual,cli,,1,0,2026-07-29 17:53:58.070862+00:00,,
2026-07-29 17:53:33.018667+00:00,manual,cli,,0,0,2026-07-29 17:53:34.474963+00:00,,
2026-07-29 17:53:11.206168+00:00,manual,cli,,1,0,2026-07-29 17:53:12.714782+00:00,,
2026-07-29 17:52:49.106578+00:00,manual,cli,,0,0,2026-07-29 17:52:50.638005+00:00,,
2026-07-29 17:52:27.014544+00:00,manual,cli,,0,0,2026-07-29 17:52:28.461720+00:00,,
2026-07-29 17:52:15.459507+00:00,initial_seed,cli,5,,0,2026-07-29 17:52:17.854031+00:00,pipeline sanity check - NOT a quality measurement,ingestion paused since 2026-07-23; only NewsAPI/HackerNews/ArXiv ran; Polymarket producer at replicas:0 so momentum vault stale - agent has no market signal
2026-07-29 17:51:32.496097+00:00,initial_seed,cli,28,,,2026-07-29 17:51:35.755939+00:00,,
