hour_bucket,calls,usd
2026-07-22 09:00 UTC,2362,0.3708
2026-07-22 10:00 UTC,320,0.0446
2026-07-22 11:00 UTC,292,0.0405
2026-07-22 12:00 UTC,299,0.0432
2026-07-22 13:00 UTC,297,0.0403
2026-07-22 14:00 UTC,329,0.0467
2026-07-22 15:00 UTC,281,0.0418
2026-07-22 16:00 UTC,255,0.0365
2026-07-22 17:00 UTC,284,0.0420
2026-07-22 18:00 UTC,311,0.0455
2026-07-22 19:00 UTC,304,0.0450
2026-07-22 20:00 UTC,329,0.0449
2026-07-22 21:00 UTC,305,0.0460
2026-07-22 22:00 UTC,277,0.0442
2026-07-22 23:00 UTC,246,0.0392
2026-07-23 00:00 UTC,241,0.0376
2026-07-23 01:00 UTC,258,0.0405
2026-07-23 02:00 UTC,247,0.0423
2026-07-23 03:00 UTC,237,0.0397
2026-07-23 04:00 UTC,269,0.0478
2026-07-23 05:00 UTC,209,0.0339
2026-07-23 06:00 UTC,228,0.0366
2026-07-23 07:00 UTC,242,0.0370
2026-07-23 08:00 UTC,254,0.0376
2026-07-23 09:00 UTC,159,0.0268
