event_id,run_id,site,source_name,model,prompt_tokens,completion_tokens,total_tokens,cost_usd,trace_id,created_at
9e1828e7-599e-480c-afd2-43ff11dd8698,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1672,251,1923,0.000401,710d6e5d-d435-47f7-83c9-e15a2699d542,2026-07-02 13:03:03.949931+00
6e8a5ce5-e2c5-4e03-9ef1-62dda42eef8e,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,59,0,59,0.000001,710d6e5d-d435-47f7-83c9-e15a2699d542,2026-07-02 13:03:04.206623+00
e1e05c89-e6aa-42a8-af38-57c9c4cc721f,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1651,244,1895,0.000394,2076b79d-bc4a-4632-afac-bbb1e98680ba,2026-07-02 13:03:04.372063+00
8fb17cef-ba52-4355-baa6-f7c08ec2a681,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,49,0,49,0.000001,2076b79d-bc4a-4632-afac-bbb1e98680ba,2026-07-02 13:03:04.562263+00
c0c3f294-fe60-4973-baec-1842fb45e7be,t7-smoke-2026-07-02,rescue_embed,arxiv,text-embedding-3-small,427,0,427,0.000009,af89d186-f985-4d37-9e06-4bf5eadf7934,2026-07-02 13:03:04.837466+00
99883453-b23a-463c-8823-694dbb8b8539,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1599,217,1816,0.000370,b55d5a19-c783-48d8-a1f6-fe79abc0f768,2026-07-02 13:03:07.512945+00
5c032a56-6525-41b7-9508-22f6baaf3211,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,47,0,47,0.000001,b55d5a19-c783-48d8-a1f6-fe79abc0f768,2026-07-02 13:03:07.703134+00
cc0c5edb-69b0-4aa0-b842-dfe1fa467924,t7-smoke-2026-07-02,gold_consensus,hackernews,gpt-4o-mini,1227,205,1432,0.000307,c18e9f25-6fac-4f6e-9706-f9e4ae9ad175,2026-07-02 13:03:08.089461+00
32af3119-fc7a-40a9-be2f-44a0f5c50f98,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1991,245,2236,0.000446,3ac25ae1-aee9-4fdc-b541-771b0d06d4c2,2026-07-02 13:03:08.417946+00
aac294d7-ab58-4130-87f1-74f63aa44f34,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,55,0,55,0.000001,3ac25ae1-aee9-4fdc-b541-771b0d06d4c2,2026-07-02 13:03:08.579535+00
be742e32-e5f9-46dc-b71c-e2195f0755ae,t7-smoke-2026-07-02,gold_embed,hackernews,text-embedding-3-small,33,0,33,0.000001,c18e9f25-6fac-4f6e-9706-f9e4ae9ad175,2026-07-02 13:03:09.612909+00
c40619e0-03bc-43f4-8d8b-03ab9b0d9bd2,t7-smoke-2026-07-02,gold_consensus,hackernews,gpt-4o-mini,2081,259,2340,0.000468,8b785470-4911-477d-b2ba-7ed3f989edeb,2026-07-02 13:03:09.93019+00
b2eba3a9-4e33-41c8-a8f5-216768df7144,t7-smoke-2026-07-02,gold_embed,hackernews,text-embedding-3-small,55,0,55,0.000001,8b785470-4911-477d-b2ba-7ed3f989edeb,2026-07-02 13:03:10.095996+00
909d2d3d-f558-4ae8-8a31-73f7e308724a,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1627,238,1865,0.000387,55bcee2a-7612-4654-9d62-f76488ba4ae5,2026-07-02 13:03:11.386775+00
88c834e8-b1c2-47bb-913e-86bf5f0cc9c3,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,53,0,53,0.000001,55bcee2a-7612-4654-9d62-f76488ba4ae5,2026-07-02 13:03:11.549461+00
1a87365c-e665-42f0-8c10-71a84e1cbfab,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1630,227,1857,0.000381,aa1f22ef-b051-4f20-8dd1-50078f1aeddf,2026-07-02 13:03:11.887047+00
8e51f4f2-1776-4d52-97bf-e82e9f76dd02,t7-smoke-2026-07-02,rescue_embed,arxiv,text-embedding-3-small,329,0,329,0.000007,55337180-4071-4d66-99b4-62f704713ee3,2026-07-02 13:03:11.895942+00
5f4283b6-f3f1-4ded-936b-23a83222ef0c,t7-smoke-2026-07-02,rescue_embed,arxiv,text-embedding-3-small,377,0,377,0.000008,2eaa289a-c24e-46a7-8c5a-614010cde49b,2026-07-02 13:03:12.048898+00
5e990a8e-3705-4c46-bf12-b056549d0538,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,50,0,50,0.000001,aa1f22ef-b051-4f20-8dd1-50078f1aeddf,2026-07-02 13:03:12.06056+00
e7e965ce-14bb-45e1-90a8-3601001fc1ca,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1549,228,1777,0.000369,f4838a43-c235-4a6e-abfb-928ec12b8751,2026-07-02 13:03:15.565662+00
d12b8ca9-d8f4-4dcc-85c0-cff1857ccd6d,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,53,0,53,0.000001,f4838a43-c235-4a6e-abfb-928ec12b8751,2026-07-02 13:03:15.759459+00
15cd0670-358b-4530-bd30-f05f45dbe6e2,t7-smoke-2026-07-02,rescue_embed,arxiv,text-embedding-3-small,418,0,418,0.000008,3453d618-48a6-4e9d-b8c5-cc24e0add261,2026-07-02 13:03:15.975222+00
8cc0c66e-074d-4aef-bf44-16d215c1bbaa,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1855,261,2116,0.000435,de69999a-14f7-45ea-8493-728887be7037,2026-07-02 13:03:16.037624+00
10bc2e79-edbe-4b97-8095-282c04c00bcc,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,56,0,56,0.000001,de69999a-14f7-45ea-8493-728887be7037,2026-07-02 13:03:16.388469+00
a1ec8ccf-f286-42c2-9ab0-679eeb8462d7,t7-smoke-2026-07-02,gold_consensus,hackernews,gpt-4o-mini,2081,257,2338,0.000466,845bf2f7-dbd7-4167-a1ea-af38d87761de,2026-07-02 13:03:19.215272+00
de4e3756-859f-4ac6-8a60-fd237b72ba68,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1713,224,1937,0.000391,a71d3d83-0862-43d4-ac35-ab6d023f38d2,2026-07-02 13:03:19.31474+00
8fb8ca6a-445e-4278-a0ad-526a6c7cdc88,t7-smoke-2026-07-02,gold_embed,hackernews,text-embedding-3-small,52,0,52,0.000001,845bf2f7-dbd7-4167-a1ea-af38d87761de,2026-07-02 13:03:19.412967+00
65b5e41d-5285-41f0-a5e5-b100f189b7e5,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,53,0,53,0.000001,a71d3d83-0862-43d4-ac35-ab6d023f38d2,2026-07-02 13:03:19.500481+00
4457f0a8-5043-4069-86f1-c8cd8d1d5e2a,t7-smoke-2026-07-02,gold_consensus,hackernews,gpt-4o-mini,2081,260,2341,0.000468,8b785470-4911-477d-b2ba-7ed3f989edeb,2026-07-02 13:03:19.668435+00
bb01e055-e6cc-4c23-95b0-a3ba9f259c0f,t7-smoke-2026-07-02,gold_embed,hackernews,text-embedding-3-small,60,0,60,0.000001,8b785470-4911-477d-b2ba-7ed3f989edeb,2026-07-02 13:03:19.838334+00
71998339-138e-4678-a8e5-083fd8837210,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1811,239,2050,0.000415,9a3013d8-35ab-44f9-92bf-d6dfbec198d8,2026-07-02 13:03:20.025062+00
354901d5-235f-4ed8-a80a-d144f9cb26e9,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,51,0,51,0.000001,9a3013d8-35ab-44f9-92bf-d6dfbec198d8,2026-07-02 13:03:20.207808+00
a10a9c04-4244-4983-beca-50321403d02d,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1789,254,2043,0.000421,74c5e448-6d72-4686-aabe-e131c371039a,2026-07-02 13:03:23.350419+00
6d9abf23-eb19-45a5-942a-ba01f38a150e,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,57,0,57,0.000001,74c5e448-6d72-4686-aabe-e131c371039a,2026-07-02 13:03:23.552133+00
b0011431-0414-4374-a89f-6ab2ee0e5dd3,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1538,237,1775,0.000373,2d9d29f8-6631-42be-aed8-ccd2786bf133,2026-07-02 13:03:25.291507+00
e23d83df-aa0c-4b79-b4e1-c6d4efb67a8b,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,67,0,67,0.000001,2d9d29f8-6631-42be-aed8-ccd2786bf133,2026-07-02 13:03:25.478649+00
61ebdc3b-5039-4d13-85df-587c27a916f6,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1581,243,1824,0.000383,4ebf4ba3-e4fe-46c0-bcdb-ac0e5822e14a,2026-07-02 13:03:27.221497+00
54d34d87-b570-4d56-9bee-b0691a55e5c3,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,67,0,67,0.000001,4ebf4ba3-e4fe-46c0-bcdb-ac0e5822e14a,2026-07-02 13:03:27.400438+00
138ed061-12cc-42d2-acaa-bf61d20daffa,t7-smoke-2026-07-02,rescue_embed,arxiv,text-embedding-3-small,400,0,400,0.000008,d615d390-069b-4118-be3b-1bbd0afb5954,2026-07-02 13:03:27.575782+00
f9db0ebf-9610-48d9-af1f-6dca87f60aef,t7-smoke-2026-07-02,gold_consensus,hackernews,gpt-4o-mini,1623,240,1863,0.000387,182e56c8-d1f3-43d5-b4e7-de81dd2a4276,2026-07-02 13:03:28.439901+00
b8e802bc-fa25-42ff-ab6e-7494876d6b5c,t7-smoke-2026-07-02,gold_embed,hackernews,text-embedding-3-small,49,0,49,0.000001,182e56c8-d1f3-43d5-b4e7-de81dd2a4276,2026-07-02 13:03:28.603663+00
f2825f8d-01b0-405f-a999-320a4b21d4ab,t7-smoke-2026-07-02,gold_consensus,hackernews,gpt-4o-mini,1623,244,1867,0.000390,a23c1c1b-5cdb-4b24-9ba8-61e210df914f,2026-07-02 13:03:28.914724+00
2916f650-2619-4297-94ac-3460037ed838,t7-smoke-2026-07-02,gold_embed,hackernews,text-embedding-3-small,61,0,61,0.000001,a23c1c1b-5cdb-4b24-9ba8-61e210df914f,2026-07-02 13:03:29.21644+00
2924ae04-0028-4d3a-8856-18fe20fcbba2,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1887,235,2122,0.000424,97470a7f-2b5c-416a-b3db-ad03fb4d4302,2026-07-02 13:03:29.361861+00
f0b627ad-b8bf-496b-86f0-738e71ec283c,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,55,0,55,0.000001,97470a7f-2b5c-416a-b3db-ad03fb4d4302,2026-07-02 13:03:29.485523+00
5d1c0fc0-541d-4a5d-aea9-358f04937f42,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1728,232,1960,0.000398,f90375e5-5cfd-489e-8337-381be8872b1c,2026-07-02 13:03:31.573625+00
045302ac-1b68-4ebb-a063-23bd6435cf92,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,56,0,56,0.000001,f90375e5-5cfd-489e-8337-381be8872b1c,2026-07-02 13:03:31.723656+00
9845c1a6-b38f-4b23-8e4f-e5310abcada0,t7-smoke-2026-07-02,rescue_embed,arxiv,text-embedding-3-small,271,0,271,0.000005,969600fe-f93a-46ca-91fb-2b532e1d4432,2026-07-02 13:03:31.870628+00
8111c9ae-1117-45f0-86ab-23e020a8010f,t7-smoke-2026-07-02,gold_consensus,hackernews,gpt-4o-mini,1227,191,1418,0.000299,2c0a8a7e-04c9-413d-bf7a-d845f4931227,2026-07-02 13:03:35.456205+00
0137f8ee-3ab3-4223-bff4-850428192412,t7-smoke-2026-07-02,gold_embed,hackernews,text-embedding-3-small,33,0,33,0.000001,2c0a8a7e-04c9-413d-bf7a-d845f4931227,2026-07-02 13:03:36.56592+00
593c3466-7bdf-49e7-8787-eb8d46603451,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1800,224,2024,0.000404,870fc51d-6927-4ebc-90e3-c41a6f4101ae,2026-07-02 13:03:37.661392+00
49707961-deab-46f5-82ad-6c6a1945da98,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,65,0,65,0.000001,870fc51d-6927-4ebc-90e3-c41a6f4101ae,2026-07-02 13:03:37.824295+00
94a253fd-0f77-4cce-b47a-17ad14026591,t7-smoke-2026-07-02,rescue_embed,arxiv,text-embedding-3-small,343,0,343,0.000007,73d3abf5-a0ad-4091-b203-a37052ab54e6,2026-07-02 13:03:38.074426+00
006cc3b1-fdaf-4900-9712-14fb6bdab46b,t7-smoke-2026-07-02,gold_enrich,arxiv,gpt-4o-mini,1640,225,1865,0.000381,cfd29f64-eb7e-4433-ba68-2b297b699659,2026-07-02 13:03:42.226488+00
7f192cd6-6b58-40d2-851d-ab5e24c2b466,t7-smoke-2026-07-02,gold_embed,arxiv,text-embedding-3-small,49,0,49,0.000001,cfd29f64-eb7e-4433-ba68-2b297b699659,2026-07-02 13:03:42.4019+00
